round_number,emotion,text_id,timestamp,prolific_id,anger,boredom,disgust,fear,guilt,joy,pride,relief,sadness,shame,surprise,trust,generated_text,hidden_emo_text,event_duration,emotion_duration,intensity,confidence,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,previous_participation,age,gender,education,ethnicity,extravert,critical,dependable,anxious,open,quiet,sympathetic,disorganized,calm,conventional,did_you_lie?,original_demographics
round-4,anger,4122,2021/09/19 11:51:52 pm EET,95f093407607f62938734c5ffbc47d5b,2,3,1,1,1,3,1,1,1,1,1,1,I felt anger when I witnessed two middle aged men knock over an elderly person with no remorse or stopping to help the person get back to their feet also didnt apologise,I felt ... when I witnessed two middle aged men knock over an elderly person with no remorse or stopping to help the person get back to their feet also didnt apologise,seconds,hours,5,5,5,1,1,1,5,1,5,1,5,5,1,4,5,5,5,1,5,5,5,5,4,"No, I participated before and answered the next set of questions.",25,Female,Undergraduate degree (BA/BSc/other),British,2,7,7,7,3,7,6,2,2,2,--,COPIED FROM: text id 41860
round-4,no-emotion,4920,2021/09/20 2:25:22 am EET,64b3fe83956c67dfe1a02d828926dde9,1,2,1,1,1,3,2,3,2,1,3,2,"Right now.  i am happy, calm, relaxed and under no external stressors.","Right now.  i am happy, calm, relaxed and under no external stressors.",minutes,hours,2,5,3,5,1,5,1,3,4,5,1,1,5,1,5,1,3,1,1,1,2,1,1,"No, I participated before and answered the next set of questions.",30,Female,Graduate degree (MA/MSc/MPhil/other),European,6,4,7,6,6,2,7,4,4,5,--,COPIED FROM: text id 41606
round-5,fear,5746,2021/10/06 2:22:24 pm EET,78fb403756b87a8972f67b7bd96050a4,1,1,1,1,1,1,1,1,1,1,1,1,I was on a rollercoaster and I thought the harness was falling off.,I was on a rollercoaster and I thought the harness was falling off.,minutes,minutes,4,4,1,1,1,1,4,1,4,1,1,1,1,3,1,1,4,1,1,1,1,3,1,"Yes, first time, I will answer the following questions.",24,Male,Graduate degree (MA/MSc/MPhil/other),European,6,6,4,4,5,3,4,5,3,4,The event really happened in my life.,ORIGINAL
round-5,pride,51729,2021/10/06 5:55:57 pm EET,6f590e3da93b16b9d59e56971896b3b7,1,3,1,1,2,3,2,1,1,1,1,2,I realised that I have become the person I had always hoped I would be.,I realised that I have become the person I had always hoped I would be.,weeks,weeks,4,5,5,1,2,5,1,5,1,5,1,3,4,1,3,1,1,4,1,1,2,1,4,"No, I participated before and answered the next set of questions.",21,Female,Undergraduate degree (BA/BSc/other),European,5,6,7,7,2,5,7,2,3,6,The event really happened in my life.,COPIED FROM: text id 51568
round-5,pride,51671,2021/10/06 2:39:21 pm EET,8c6f6b7d3388f242ef2fcaa8206ff7f0,1,1,1,1,1,1,1,1,1,1,1,1,When I helped a family overcome some stress,When I helped a family overcome some stress,days,minutes,4,5,4,2,2,2,4,2,5,1,3,4,2,5,5,4,1,3,4,2,5,2,5,"Yes, first time, I will answer the following questions.",34,Female,Undergraduate degree (BA/BSc/other),European,6,6,6,5.6,7,2.2,7,1,5,4.8,The event really happened in my life.,"AVERAGED: text id 5260, 5589, 51488, 51671, 51842"
round-4,pride,41169,2021/09/20 1:59:52 am EET,146a12b739415dc6cf24a91311423a3c,1,1,1,1,1,1,1,1,1,1,1,1,I received the news that I had been successful in a job interview.,I received the news that I had been successful in a job interview.,minutes,hours,4,4,4,1,2,5,1,5,1,5,1,1,5,4,1,5,1,5,1,1,5,1,1,"No, I participated before and answered the next set of questions.",37,Male,Undergraduate degree (BA/BSc/other),European,1,1,6,1,5,6,2,2,6,6,--,COPIED FROM: text id 41227
round-4,trust,41858,2021/09/19 11:44:04 pm EET,8a3387f6f3a597c304f2da796921833d,1,1,1,1,1,2,2,2,1,1,1,2,I was unwell & I trusted my family with my kids,I was unwell & I ... my family with my kids,weeks,weeks,5,5,2,1,1,1,5,2,5,1,1,1,1,1,5,2,5,2,1,1,5,2,5,"No, I participated before and answered the next set of questions.",30,Female,Secondary education,Prefer not to answer,5,2,5,6,7,6,6,6,6,5,--,COPIED FROM: text id 471
round-3,no-emotion,3669,2021/09/03 9:49:42 pm EET,bc32782fc94a6596584dc11181b14e1d,1,1,1,1,1,3,2,2,1,1,1,3,I was doing easy work that I knew what I was doing. It didn't take much brain power. I didn't dislike doing it but I also wasn't happy doing it. It was just another thing.,I was doing easy work that I knew what I was doing. It didn't take much brain power. I didn't dislike doing it but I also wasn't happy doing it. It was just another thing.,minutes,minutes,1,3,2,4,4,3,3,3,1,2,4,4,4,2,5,1,1,5,1,1,1,1,1,"No, I participated before and answered the next set of questions.",18,Female,Secondary education,European,5,2,6,6,6,4,6,1,2,3,--,COPIED FROM: text id 3548
round-5,sadness,52110,2021/10/06 1:48:45 pm EET,8a0a2873c87e3902399d46574599c996,1,1,1,1,1,2,2,1,1,1,1,2,my daughter went to nursery for the first time because I am used to being with her 24/7 and its all going too quick.,my daughter went to nursery for the first time because I am used to being with her 24/7 and its all going too quick.,hours,hours,3,5,2,1,3,2,4,1,1,3,3,3,4,3,3,3,1,3,3,1,2,1,2,"Yes, first time, I will answer the following questions.",24,Female,Secondary education,European,5,2,5,6,5,4,6,3,5,2,The event really happened in my life.,ORIGINAL
round-3,boredom,3129,2021/09/03 4:43:54 pm EET,65846af3dc8205fc45821efda37a6b44,3,3,2,4,3,2,3,2,4,4,1,2,I am on annual leave and keep suggesting to do things with my partner but they don't want to do anything which us passing it on to me.,I am on annual leave and keep suggesting to do things with my partner but they don't want to do anything which us passing it on to me.,hours,hours,2,5,3,5,5,2,4,2,1,1,5,5,2,2,3,4,1,1,3,1,3,2,3,"No, I participated before and answered the next set of questions.",31,Female,Undergraduate degree (BA/BSc/other),European,5,2,4,7,3,7,5,2,3,3,--,COPIED FROM: text id 30
round-2,no-emotion,2116,2021/07/20 8:22:57 pm EET,2fbef97d89a05cfd623bc37ddd434d5f,1,5,1,1,1,1,1,1,1,1,1,1,I finished university even though many other people were really happy or sad,I finished university even though many other people were really happy or sad,days,I had none,3,4,2,4,3,3,3,4,1,4,2,3,4,2,3,4,1,2,1,1,4,1,1,"Yes, first time, I will answer the following questions.",21,Female,Undergraduate degree (BA/BSc/other),South Asian,3,4.9,5.4,4.1,5.7,5.1,5.4,3,5.1,2.9,--,"AVERAGED: text id 246, 265, 294, 2116, 2137, 2173, 2202"
round-5,fear,5790,2021/10/06 1:53:24 pm EET,25618ccc6131acfad27afe5d20a2c50e,1,3,1,1,1,1,1,1,1,1,1,1,when driving on the moors and almost crashing due to bad weather,when driving on the moors and almost crashing due to bad weather,seconds,minutes,4,4,5,1,1,1,5,5,5,3,1,4,1,5,2,1,5,3,1,1,5,3,1,"No, I participated before and answered the next set of questions.",23,Male,Graduate degree (MA/MSc/MPhil/other),European,6,6,6,2,6,2,6,4,4,2,The event really happened in my life.,COPIED FROM: text id 575
round-2,no-emotion,2107,2021/07/20 3:47:59 pm CET,5f776c3cf521d418ddc65a2f8a72e9e3,1,2,1,1,1,1,1,1,1,1,1,1,when I wwas going through exam period around Christmas. everything was over due to previously being hospital when it was originally due.,when I wwas going through exam period around Christmas. everything was over due to previously being hospital when it was originally due.,weeks,days,4,3,2,5,5,2,4,5,4,4,2,4,3,3,3,3,3,2,3,1,5,3,5,"Yes, first time, I will answer the following questions.",21,Female,Secondary education,European,3,4,5,6,4,4,5,5,5,2,--,ORIGINAL
round-3,surprise,31196,2021/09/03 10:50:31 pm EET,779ffc5af31d8a273a59ce1cadc36be4,1,5,1,1,1,2,1,1,1,1,1,1,the flight was quicker than i expected,the flight was quicker than i expected,hours,minutes,3,5,2,3,2,5,1,2,1,1,3,3,4,1,1,4,3,5,1,1,3,1,1,"No, I participated before and answered the next set of questions.",25,Female,Undergraduate degree (BA/BSc/other),European,2,6,5,6,3,6,6,3,2,3,--,COPIED FROM: text id 31054
round-5,fear,5781,2021/10/06 2:39:45 pm EET,9c1d1a1708fd110cdf4e64dbada079c9,2,4,1,1,1,2,3,2,1,1,1,2,I FELT FEAR I WAS ROBBED.,I FELT ... I WAS ROBBED.,minutes,weeks,5,5,5,1,1,1,1,5,1,1,5,1,1,5,1,5,1,1,5,5,5,5,5,"No, I participated before and answered the next set of questions.",45,Male,High school,North American,4,3,7,5,2,4,3,5,6,3,The event really happened in my life.,COPIED FROM REJECTED: text id 558
round-5,sadness,52258,2021/10/06 6:38:18 pm EET,ce508916a723b1124815cb93c74413bb,1,1,1,2,2,3,1,1,5,5,1,1,I felt sadness when i did not hear back from a friend after texting them multiple times. I was checking on them to see if they were okay after a traumatic event. I did not know if they were avoiding me because they were not ready to talk yet or if they just did not like me anymore.,I felt ... when i did not hear back from a friend after texting them multiple times. I was checking on them to see if they were okay after a traumatic event. I did not know if they were avoiding me because they were not ready to talk yet or if they just did not like me anymore.,weeks,weeks,5,5,4,1,1,1,5,2,5,1,5,1,1,4,2,1,4,3,4,3,5,5,5,"Yes, first time, I will answer the following questions.",25,Female,Undergraduate degree (BA/BSc/other),African,1,4,6,7,5,7,6,4,4,5,The event really happened in my life.,ORIGINAL
round-5,boredom,5355,2021/10/06 1:37:09 pm EET,02f999be521c967cde6ffb5e6e52deb7,1,1,1,1,1,2,2,1,1,1,2,2,"I felt boredom when I was sitting in my room one night with nothing to do despite having many video games and my guitar to play. It just didn't interest me at the time and I wanted to leave the house to go for a walk but it would have woken up my parents, so I couldn't do anything besides listen to music and eventually go to bed. I had already been at home the last week or so and hadn't been out much so I was getting increasingly bored as the days went on, but this particular night was very boring.","I felt ... when I was sitting in my room one night with nothing to do despite having many video games and my guitar to play. It just didn't interest me at the time and I wanted to leave the house to go for a walk but it would have woken up my parents, so I couldn't do anything besides listen to music and eventually go to bed. I had already been at home the last week or so and hadn't been out much so I was getting increasingly ... as the days went on, but this particular night was very ....",hours,hours,2,5,1,5,5,2,3,1,1,2,2,5,3,1,2,4,2,5,1,1,1,2,1,"Yes, first time, I will answer the following questions.",18,Male,No formal qualifications,Australian/New Zealander,7,5,5,2,7,2,5,2,6,1,The event really happened in my life.,ORIGINAL
round-3,guilt,3527,2021/09/03 5:48:22 pm EET,a7b5b580735e39aaf5e26da6d57dcf0c,3,1,3,2,5,2,1,1,4,5,1,5,"I suspected my girlfriend of 5 years was cheating on me. She left her Facebook logged into my computer when she left, and I checked her messages. She was indeed cheating on me, but the way I found out was... wrong. I should have been better. I regret that to this day.","I suspected my girlfriend of 5 years was cheating on me. She left her Facebook logged into my computer when she left, and I checked her messages. She was indeed cheating on me, but the way I found out was... wrong. I should have been better. I regret that to this day.",minutes,weeks,5,5,5,1,2,1,5,5,1,5,5,5,1,3,4,4,1,2,5,4,4,3,4,"No, I participated before and answered the next set of questions.",25,Male,High school,Australian/Maori,4,5,2,6,7,4,6,7,2,1,--,COPIED FROM: text id 3336
round-5,surprise,52429,2021/10/06 3:21:23 pm EET,e92880e5e49eceddbdf8afd15c49ca07,3,5,2,1,3,1,1,1,1,1,1,1,covid19 happened globally,covid19 happened globally,weeks,weeks,5,5,3,1,1,2,5,3,5,1,1,1,1,5,1,5,5,3,3,5,3,4,3,"No, I participated before and answered the next set of questions.",31,Female,Graduate degree (MA/MSc/MPhil/other),European,6,6,5,3,7,2,7,5,6,4,The event really happened in my life.,COPIED FROM: text id 5833
round-5,sadness,52285,2021/10/06 6:13:20 pm EET,49a4b9005b68ba73b9010b0e62a6a5ae,1,2,1,1,1,1,1,1,1,1,2,2,when I left home to go to college.,when I left home to go to college.,hours,days,4,4,1,1,5,3,4,4,1,5,3,4,4,4,4,2,1,3,1,1,4,3,5,"No, I participated before and answered the next set of questions.",18,Female,High school,North American,2,5,6,6,5,5,5,2,4,3,The event really happened in my life.,COPIED FROM: text id 51968
round-3,pride,3823,2021/09/03 10:22:02 pm EET,1f34dc9886091167ffc17d0482b49675,1,2,1,1,1,1,1,1,1,1,1,1,I felt pride when I achieved 5000 sales in the shop I created.,I felt ... when I achieved 5000 sales in the shop I created.,minutes,days,4,4,4,4,4,5,1,3,1,5,5,4,4,1,1,4,2,4,1,1,1,1,1,"No, I participated before and answered the next set of questions.",23,Female,Undergraduate degree (BA/BSc/other),East Asian,5,3,6,5,6,6,6,6,5,2,--,COPIED FROM: text id 353
round-4,guilt,4679,2021/09/20 1:28:49 am EET,7be095ba75fee799c89c2906c5ecafc9,1,2,1,2,1,3,2,1,1,1,1,3,when i was younger I was at my Aunts house. We were having dinner as a family and she had brought out all her good plates and glasses. Like the ones that only came out when there was guests over. I accidentally dropped one of her glasses and smashed it on the floor. The look on her face is still engraved in my mind and it happened around 10 years ago. It was only a glass but i felt so so guilty.,when i was younger I was at my Aunts house. We were having dinner as a family and she had brought out all her good plates and glasses. Like the ones that only came out when there was guests over. I accidentally dropped one of her glasses and smashed it on the floor. The look on her face is still engraved in my mind and it happened around 10 years ago. It was only a glass but i felt so so ....,minutes,weeks,3,5,5,1,1,1,5,4,1,5,1,1,1,3,4,1,1,4,3,1,3,4,2,"No, I participated before and answered the next set of questions.",18,Female,Secondary education,European,5,7,7,6,7,2,7,1,4,1,--,COPIED FROM: text id 4376
round-5,surprise,52424,2021/10/06 3:20:25 pm EET,cfe2bd2f16bc82256699fcb6ef11f284,1,1,1,1,1,1,1,1,1,1,1,1,I felt surprised when I my boyfriend booked for us to go away to see my best friend (who i had not seen in a long time) for my birthday present,I felt ... when I my boyfriend booked for us to go away to see my best friend (who i had not seen in a long time) for my birthday present,days,minutes,5,5,5,3,1,5,1,1,1,1,5,4,5,3,1,5,1,1,1,1,1,1,1,"No, I participated before and answered the next set of questions.",24,Female,Undergraduate degree (BA/BSc/other),European,3,6,3,7,5,1,7,5,2,1,The event really happened in my life.,COPIED FROM: text id 51625
round-5,sadness,52153,2021/10/06 2:49:25 pm EET,336295c4bd5cc5bda4b5acf254846882,1,1,1,2,3,1,1,1,3,3,1,1,my eldest son approached me and told me he wasn't comfortable with himself and wanted to be the opposite sex. I felt extreme sadness for him knowing that he was going to have a long hard road ahead of him and that he couldn't just be happy with who he already was. It always brings waves of sadness each time i look at him.,my eldest son approached me and told me he wasn't comfortable with himself and wanted to be the opposite sex. I felt extreme ... for him knowing that he was going to have a long hard road ahead of him and that he couldn't just be happy with who he already was. It always brings waves of ... each time i look at him.,weeks,weeks,5,5,4,1,2,1,5,5,5,1,1,1,1,5,1,3,4,1,4,3,5,5,5,"No, I participated before and answered the next set of questions.",41,Female,High school,European,4,6,4,6,3,5,5,3,2,5,The event really happened in my life.,COPIED FROM: text id 5268
round-5,fear,5959,2021/10/06 3:56:38 pm EET,86d1336e3cc4f30ed8a0a422b29f72a8,1,1,1,1,1,2,1,1,1,1,1,1,I felt dear when charged at by an aggressive dog.,I felt dear when charged at by an aggressive dog.,seconds,minutes,4,5,5,1,1,1,4,4,1,1,5,3,1,5,1,3,1,3,1,4,5,1,4,"Yes, first time, I will answer the following questions.",35,Female,Undergraduate degree (BA/BSc/other),South Asian,4.5,4.5,5.5,5,4.5,3,5,1.5,4.5,4,The event really happened in my life.,"AVERAGED: text id 5959, 52707"
round-4,pride,41056,2021/09/20 2:04:33 am EET,2606bcbe3565f6d0fadfa31ac6ef7d31,1,1,1,1,1,4,1,3,1,1,2,4,I felt pride when I qualified for two finals at my sports day as I had never achieved this before.,I felt ... when I qualified for two finals at my sports day as I had never achieved this before.,minutes,hours,5,4,4,1,1,5,1,4,2,5,4,2,4,5,5,5,4,2,2,1,4,1,5,"No, I participated before and answered the next set of questions.",21,Male,High school,European,5,2,4,6,7,7,7,2,4,2,--,COPIED FROM: text id 41907
round-4,anger,471,2021/09/19 11:34:29 pm EET,8a3387f6f3a597c304f2da796921833d,1,2,1,1,1,4,2,2,1,1,1,4,I found out my daughter was being picked on at school,I found out my daughter was being picked on at school,hours,days,5,5,3,1,1,1,5,2,1,1,5,4,2,5,1,5,1,2,2,4,5,3,5,"Yes, first time, I will answer the following questions.",30,Female,Secondary education,Prefer not to answer,5,2,5,6,7,6,6,6,6,5,--,ORIGINAL
round-5,pride,51725,2021/10/06 5:39:19 pm EET,d5d3735667337d94623f4420b71090ff,1,1,1,1,1,3,2,1,1,1,1,2,I completed a project,I completed a project,seconds,hours,4,5,3,3,5,5,1,5,1,5,1,5,5,3,5,1,1,5,1,1,5,1,1,"No, I participated before and answered the next set of questions.",25,Male,High school,North American,2,6,6,4,5,2,7,2,7,1,The event really happened in my life.,COPIED FROM: text id 51233
round-5,relief,51813,2021/10/06 2:46:27 pm EET,75ff2441794c680313a00fc96c8aa1fa,1,2,1,1,2,2,1,2,1,1,1,1,Finding out I passed my nursing degree,Finding out I passed my nursing degree,minutes,weeks,5,5,1,3,3,5,1,5,1,5,4,4,5,1,5,5,1,3,1,1,5,1,4,"No, I participated before and answered the next set of questions.",36,Female,Graduate degree (MA/MSc/MPhil/other),European,6,6,5,6,7,5,6,3,5,5,The event really happened in my life.,COPIED FROM: text id 5535
round-3,pride,3813,2021/09/03 10:15:22 pm EET,0fd4ac8303bf7f133df00bde32bf7eb6,2,2,2,2,2,2,2,2,2,2,2,2,I graduated from university with a Bachelors degree because it took a long time and a lot of hard work to achieve.,I graduated from university with a Bachelors degree because it took a long time and a lot of hard work to achieve.,hours,weeks,5,5,1,1,5,5,1,5,1,5,1,5,5,3,5,1,1,5,1,1,5,1,5,"No, I participated before and answered the next set of questions.",23,Female,Undergraduate degree (BA/BSc/other),European,5,2,7,2,5,5,7,2,6,6,--,COPIED FROM: text id 3725
round-5,disgust,5694,2021/10/06 1:55:11 pm EET,56b95f3de8666141d7c0090a069cc34e,1,1,1,1,1,2,1,1,1,1,1,1,when I saw someone treating someone else badly,when I saw someone treating someone else badly,minutes,hours,4,4,4,2,4,1,5,4,1,1,5,5,1,5,3,5,1,3,5,5,5,5,5,"No, I participated before and answered the next set of questions.",37,Female,Graduate degree (MA/MSc/MPhil/other),European,5,2,6,5,3,3,5,2,5,2,The event really happened in my life.,COPIED FROM: text id 586
round-6,disgust,6310,2021/11/01 9:53:22 pm CET,bc8d4d01e411ae6a18b8e3dddc257614,1,3,1,1,1,4,3,3,1,1,4,4,I felt disgust when my exboyfriend betrayed me. I trusted him and he betrayed me. He claimed to be different and was self-righteous about his perceived morality. It disgusted me that he would be such a liar.,I felt ... when my exboyfriend betrayed me. I trusted him and he betrayed me. He claimed to be different and was self-righteous about his perceived morality. It ... me that he would be such a liar.,weeks,weeks,5,4,5,3,2,1,5,3,3,1,5,1,1,5,3,4,3,3,5,3,4,3,5,"Yes, first time, I will answer the following questions.",27,Female,Secondary education,Hispanic/Latino,7,5,4,5,7,6,7,4,5,1,The event really happened in my life.,ORIGINAL
round-5,disgust,5539,2021/10/06 2:31:06 pm EET,3c88e367f42e666466087bbba9933da8,1,3,3,2,3,4,2,5,2,3,2,4,"I felt disgusted yesterday at work when a Colleague  of mine wasn't able to complete  a task which he was taught for over 3weeks. It got me disgusted because  I was a witness of his training, on getting  the to stage of executing what he has learnt,he felt dumbfounded.","I felt ... yesterday at work when a Colleague  of mine wasn't able to complete  a task which he was taught for over 3weeks. It got me ... because  I was a witness of his training, on getting  the to stage of executing what he has learnt,he felt dumbfounded.",hours,hours,4,5,3,4,4,2,3,3,2,1,2,3,3,3,2,4,3,2,3,2,5,5,4,"Yes, first time, I will answer the following questions.",39,Male,Graduate degree (MA/MSc/MPhil/other),North American,6,4,7,2,7,6,7,1,7,4,The event really happened in my life.,ORIGINAL
round-5,no-emotion,51417,2021/10/06 3:09:22 pm EET,9737faef2240ccf6d5873b0b2a991f8c,4,2,1,1,3,3,2,1,4,2,1,3,"i recently went swimming and the pool was closed due to coid out break, i think i have become so immune to covid cancelling things i just felt noting turned around and came home.","i recently went swimming and the pool was closed due to coid out break, i think i have become so immune to covid cancelling things i just felt noting turned around and came home.",minutes,I had none,2,5,5,5,2,3,3,1,5,1,4,1,1,5,1,5,3,3,1,1,1,1,1,"Yes, first time, I will answer the following questions.",33,Female,Secondary education,European,5,5,6,5,4,5,5,2,3,5,The event really happened in my life.,ORIGINAL
round-4,fear,4500,2021/09/20 12:55:27 am EET,5615fe4cd21d9e641916c61d57bd0235,1,1,1,1,1,1,1,1,1,1,1,1,I started my first day of college,I started my first day of college,hours,minutes,5,5,1,1,5,1,5,4,1,4,1,4,4,2,2,4,3,4,1,4,4,4,4,"No, I participated before and answered the next set of questions.",37,Female,High school,White,5,5,6,6,3,6,6,2,6,5,--,COPIED FROM: text id 442
round-5,surprise,52436,2021/10/06 3:24:21 pm EET,3a1795b08304889cd4872e92366c03c7,1,1,1,1,1,3,2,1,1,1,1,2,I bumped into a good friend that I hadn't seen in a long time. This happened in a place I really wouldn't have expected to have seen her.,I bumped into a good friend that I hadn't seen in a long time. This happened in a place I really wouldn't have expected to have seen her.,minutes,minutes,3,3,3,3,2,5,1,1,4,4,4,3,4,4,3,2,3,3,1,1,4,1,3,"Yes, first time, I will answer the following questions.",47,Female,Graduate degree (MA/MSc/MPhil/other),European,6,2,6,2,6,4,6,1,6,2,The event really happened in my life.,ORIGINAL
round-2,fear,274,2021/07/20 4:48:12 pm EET,605bb37881140f45cfecadf22e83eac7,1,1,1,1,1,1,1,1,1,1,1,1,when my surf board was over my head and I couldn't get out of the water.,when my surf board was over my head and I couldn't get out of the water.,seconds,minutes,4,3,5,3,4,1,5,2,1,4,1,4,1,5,4,1,1,2,3,1,4,1,2,"No, I participated before and answered the next set of questions.",27,Female,Undergraduate degree (BA/BSc/other),European,1,5,2,6,5,6,6,6,2,2,--,COPIED FROM: text id 241
