round_number,emotion,text_id,timestamp,prolific_id,anger,boredom,disgust,fear,guilt,joy,pride,relief,sadness,shame,surprise,trust,generated_text,hidden_emo_text,event_duration,emotion_duration,intensity,confidence,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,previous_participation,age,gender,education,ethnicity,extravert,critical,dependable,anxious,open,quiet,sympathetic,disorganized,calm,conventional,did_you_lie?,original_demographics
round-4,trust,41932,2021/09/20 1:10:05 am EET,359e2da8f7a48d5152723cc9eaa1bf55,1,2,1,1,1,3,1,5,1,1,1,1,"I felt trust when my boyfriend and  I climbed to the  top of a fort at a national park ,I was afraid because we were 5 stories above the ground. He calmly guided me down back to the  ground .In that moment I trusted him  to keep me safe.","I felt ... when my boyfriend and  I climbed to the  top of a fort at a national park ,I was afraid because we were 5 stories above the ground. He calmly guided me down back to the  ground .In that moment I ... him  to keep me safe.",minutes,minutes,2,5,1,3,4,3,2,1,1,5,1,2,5,5,3,3,1,5,1,1,4,1,3,"Yes, first time, I will answer the following questions.",28,Female,Undergraduate degree (BA/BSc/other),North American,2,4,5,6,5,7,5,2,5,2,--,ORIGINAL
round-3,shame,31122,2021/09/03 10:19:12 pm EET,918798c6920d19e67c74c5cd63bb44f8,1,1,1,1,1,2,1,1,1,1,1,2,my father called me out when he didn't like the decision I made,my father called me out when he didn't like the decision I made,minutes,days,5,5,5,1,4,1,5,1,5,5,3,2,2,2,4,3,3,5,5,3,5,5,4,"No, I participated before and answered the next set of questions.",27,Female,Undergraduate degree (BA/BSc/other),North American,6,1,6,5,6,5,6,6,5,4,--,COPIED FROM: text id 3711
round-4,sadness,41519,2021/09/20 2:25:01 am EET,33dd218f1293427dd5035d4fd3c7048c,1,1,1,1,1,5,3,2,1,1,2,1,I had to leave my dog,I had to leave my dog,weeks,weeks,5,5,1,1,5,1,5,5,1,5,1,5,1,2,3,1,5,5,4,1,4,3,4,"No, I participated before and answered the next set of questions.",18,Female,High school,European,5,7,7,6,6,5,6,2,5,5,--,COPIED FROM: text id 4864
round-4,joy,4853,2021/09/20 1:22:02 am EET,7b127119b469019d03283e38449b2045,1,3,1,1,1,2,2,1,1,1,1,1,i felt joy when i received my first assignment back at college this was because a lot of work was put into it and i was worried because i had never done anything like it before. it made me feel joy because i got the highest grade possible.,i felt ... when i received my first assignment back at college this was because a lot of work was put into it and i was worried because i had never done anything like it before. it made me feel ... because i got the highest grade possible.,days,hours,5,5,1,1,4,5,1,5,1,5,1,3,3,1,5,1,1,3,1,1,4,1,1,"No, I participated before and answered the next set of questions.",19,Female,Undergraduate degree (BA/BSc/other),Middle Eastern,6,4,7,3,7,4,7,1,3,6,--,COPIED FROM: text id 4938
round-6,anger,662,2021/11/01 8:57:14 pm CET,bcd5f7b0f1a42b074fb49a0be9f8a4e8,5,4,4,3,4,2,2,1,5,3,1,1,someone i love didn't take me seriously,someone i love didn't take me seriously,hours,weeks,5,5,4,2,2,1,5,4,4,1,5,3,1,3,1,5,1,1,5,2,5,5,5,"No, I participated before and answered the next set of questions.",19,Female,High school,European,5,7,3,7,3,6,6,7,1,1,The event really happened in my life.,COPIED FROM: text id 6334
round-6,anger,622,2021/11/01 8:14:17 pm CET,bdaf929c82a6392444ff313f24cb34f8,1,3,1,1,1,1,1,1,1,1,1,3,My wife ignored me when I was talking to her.,My wife ignored me when I was talking to her.,seconds,minutes,4,4,5,5,5,1,5,2,1,2,5,4,1,3,3,5,1,3,1,1,1,1,1,"Yes, first time, I will answer the following questions.",56,Male,High school,European,3,3,6,4,5,6,6,6,6,3,The event really happened in my life.,ORIGINAL
round-4,trust,41828,2021/09/20 1:38:53 am EET,388530ce0a122fbed145773701f3fa74,1,1,1,1,1,1,2,2,2,1,3,3,I felt trust when my father brought me into work to help out because he viewed me as a dependable worker.,I felt ... when my father brought me into work to help out because he viewed me as a dependable worker.,hours,days,3,4,3,2,2,5,2,4,1,5,1,4,4,3,3,1,1,2,1,1,5,1,5,"No, I participated before and answered the next set of questions.",23,Male,High school,Hispanic/Latino,1,6,7,3,1,6,3,3,6,2,--,COPIED FROM: text id 41834
round-4,sadness,41501,2021/09/20 2:22:06 am EET,155102d7ed2b054b51d8707b93f9a127,2,1,1,1,1,3,1,1,1,1,1,3,I felt SADNESS when i watched the gruesome video of the killing of George Floyd for 9 minutes. It felt like a pit of emptiness and sadness opened up in my body,I felt ... when i watched the gruesome video of the killing of George Floyd for 9 minutes. It felt like a pit of emptiness and ... opened up in my body,hours,weeks,5,5,5,4,1,1,5,1,1,1,5,1,1,5,1,5,3,3,5,5,5,1,4,"No, I participated before and answered the next set of questions.",35,Male,Graduate degree (MA/MSc/MPhil/other),African,6,2,6,1,6,6,6,1,6,1,--,COPIED FROM: text id 41897
round-4,anger,478,2021/09/19 11:39:28 pm EET,194092901ae126620a3dd26706ab2e7f,4,3,1,4,4,1,1,1,5,2,1,2,my parents had accidentally found a photo of my boyfriend and I kissing. They did not know I was in a relationship and long story short they forced me to end the relationship or else I would be taken out of college and kicked out.,my parents had accidentally found a photo of my boyfriend and I kissing. They did not know I was in a relationship and long story short they forced me to end the relationship or else I would be taken out of college and kicked out.,days,weeks,5,5,5,4,4,1,5,5,2,4,2,4,1,5,2,5,1,4,5,5,4,5,5,"Yes, first time, I will answer the following questions.",18,Female,High school,East Asian,5,4,5,5,4,2,5,1.5,5,1,--,"AVERAGED: text id 478, 41859"
round-4,no-emotion,4985,2021/09/20 2:26:25 am EET,76ddb9a0e1e4f23bb4e9b0e3d5659a54,2,2,3,2,2,4,4,3,2,2,2,4,My dad moved away due to a damaged relationship,My dad moved away due to a damaged relationship,minutes,minutes,3,3,4,2,4,2,3,4,3,4,5,2,3,3,4,3,4,2,4,3,3,3,4,"No, I participated before and answered the next set of questions.",28,Female,High school,European,6,5,6,4,5,4,6,5,4,5,--,COPIED FROM REJECTED: text id 41842
round-5,sadness,52144,2021/10/06 2:09:23 pm EET,4ce481ce4841b318f5ea1f5f450b4af9,1,4,1,5,1,3,5,5,1,1,1,5,when my mother died,when my mother died,weeks,weeks,5,5,3,1,5,1,5,5,4,1,3,5,1,5,2,4,5,1,1,1,5,5,5,"No, I participated before and answered the next set of questions.",47,Female,Secondary education,European,6,3,7,6,6,1,7,4,2,2,The event really happened in my life.,COPIED FROM: text id 522
round-5,surprise,52564,2021/10/06 5:50:43 pm EET,e84c4b70141000aee37655df33718be0,2,5,1,1,2,3,3,2,4,2,2,1,I felt SURPRISE when I was diagnosed with leukaemia with no prior symptoms.,I felt ... when I was diagnosed with leukaemia with no prior symptoms.,minutes,weeks,5,5,5,1,1,1,5,5,5,1,1,1,1,4,2,4,5,2,3,1,5,2,5,"Yes, first time, I will answer the following questions.",22,Male,Undergraduate degree (BA/BSc/other),European,5,6,4,6,5,2,6,3,3,4,The event really happened in my life.,ORIGINAL
round-6,sadness,6900,2021/11/01 10:06:40 pm CET,c311c9f7d4fa84952f86c83253b6817e,1,5,1,3,2,3,1,2,1,2,1,3,"I get quite anxious and sad when I think about my family, because we do not often speak","I get quite anxious and ... when I think about my family, because we do not often speak",weeks,weeks,5,5,4,5,5,1,5,5,1,5,5,5,1,4,5,1,1,1,4,3,1,5,2,"No, I participated before and answered the next set of questions.",24,Male,Undergraduate degree (BA/BSc/other),North American,2,6,5,5,5,7,2,6,5,2,The event really happened in my life.,COPIED FROM: text id 6956
round-5,pride,51733,2021/10/06 6:00:48 pm EET,43c20c56d1fecd261b292d746a084f68,1,3,1,1,1,1,1,1,1,1,1,1,my husband passed his probation in his new job,my husband passed his probation in his new job,hours,days,2,4,2,3,4,4,1,2,1,1,5,4,2,4,1,5,1,2,2,1,4,1,1,"No, I participated before and answered the next set of questions.",30,Female,High school,European,5,2,6,4,5,4,6,3,6,3,The event really happened in my life.,COPIED FROM: text id 552
round-5,guilt,5988,2021/10/06 2:40:52 pm EET,33dc5e2395d3e1151e84aea285e62c0c,1,2,1,1,1,1,1,1,1,1,1,1,I am unable to buy my child something because of lack of funds in paricular a time when he needed new football shoes,I am unable to buy my child something because of lack of funds in paricular a time when he needed new football shoes,days,weeks,4,4,2,4,4,1,5,2,3,2,1,4,1,4,2,1,4,2,4,1,5,2,4,"Yes, first time, I will answer the following questions.",34,Female,Undergraduate degree (BA/BSc/other),European,3,5,6,5,7,6,7,4,4,2,The event really happened in my life.,ORIGINAL
round-4,fear,4481,2021/09/20 12:31:01 am EET,5787615bf16967511eb9e48dff781d64,1,1,1,1,1,1,1,1,1,1,1,1,i was having a csection for the birth of my baby,i was having a csection for the birth of my baby,hours,weeks,5,5,1,1,1,1,5,5,5,1,5,1,5,5,1,5,5,1,5,1,5,5,5,"No, I participated before and answered the next set of questions.",37,Female,High school,European,4,7,5,6,6,1,6,1,3,1,--,COPIED FROM: text id 494
round-6,relief,6788,2021/11/01 9:58:21 pm CET,fedbcae7c8505f38ff4a0a44a74a650f,1,2,1,1,1,1,1,1,1,1,1,1,I had been experiencing some difficult days. I was feeling sad and slightly detached. When I woke up that morning I felt those feelings had lifted. I felt genuine relief to feel like myself again.,I had been experiencing some difficult days. I was feeling sad and slightly detached. When I woke up that morning I felt those feelings had lifted. I felt genuine ... to feel like myself again.,minutes,days,5,5,5,1,1,4,1,4,4,1,1,1,5,3,1,1,3,4,1,1,1,1,2,"No, I participated before and answered the next set of questions.",35,Female,Undergraduate degree (BA/BSc/other),European,1,5.5,4.5,6,3.5,6,5,4.5,3,3,The event really happened in my life.,"AVERAGED: text id 3352, 6572"
round-4,relief,41250,2021/09/20 2:12:36 am EET,14ef2feddc450b804262c7c44470f69b,1,1,1,1,1,4,1,4,1,1,1,4,"I felt relief when I got accepted into my first choice of university into the nursing program. I felt a sense of accomplishment and relief as I felt good enough, and smart enough to be apart of this program. I was relieved that I would be able to leave home, and travel to a new state, where I would be able to meet new people and have new experiences.","I felt ... when I got accepted into my first choice of university into the nursing program. I felt a sense of accomplishment and ... as I felt good enough, and smart enough to be apart of this program. I was ... that I would be able to leave home, and travel to a new state, where I would be able to meet new people and have new experiences.",weeks,weeks,4,5,3,2,2,5,1,5,1,5,2,2,3,3,2,2,1,2,1,1,4,1,4,"Yes, first time, I will answer the following questions.",25,Female,Undergraduate degree (BA/BSc/other),North American,3,4,7,5,6,6,7,1,6,3,--,ORIGINAL
round-5,pride,51680,2021/10/06 2:50:37 pm EET,02073d5eda68ccf97b7aa9e30598a555,1,2,1,1,1,2,2,1,1,1,1,2,I felt pride when my children were born.,I felt ... when my children were born.,hours,weeks,5,5,4,4,3,4,2,5,1,5,5,5,5,4,4,4,2,5,1,1,4,2,4,"No, I participated before and answered the next set of questions.",32,Female,Secondary education,European,5,2,5,4,5,4,5,2,5,2,The event really happened in my life.,COPIED FROM: text id 52346
round-5,trust,52755,2021/10/06 3:23:36 pm EET,488addb9c67d8d0d3dce536ffa69f694,1,1,1,1,1,4,2,4,1,1,2,4,"A passerby handed me my wallet, apparently it had dropped from me unknowingly.","A passerby handed me my wallet, apparently it had dropped from me unknowingly.",hours,hours,4,4,4,3,2,3,3,3,4,2,4,2,4,4,4,2,4,4,3,3,4,3,3,"No, I participated before and answered the next set of questions.",30,Female,Graduate degree (MA/MSc/MPhil/other),Middle Eastern,6,1,6,2,5,5,6,1,6,2,The event really happened in my life.,COPIED FROM: text id 5993
round-5,fear,5733,2021/10/06 1:59:33 pm EET,a8d10476ad85d025e0cbd0b9f55b0a04,1,2,1,1,1,3,3,1,1,1,1,2,"I was in Korea alone in a hotel room and I heard a key turn in the door.  I looked through the peephole and it was a man, not the maid or hotel staff.","I was in Korea alone in a hotel room and I heard a key turn in the door.  I looked through the peephole and it was a man, not the maid or hotel staff.",minutes,days,5,5,5,1,1,1,5,2,4,1,5,1,1,5,3,5,1,3,5,5,5,1,5,"Yes, first time, I will answer the following questions.",49,Female,Graduate degree (MA/MSc/MPhil/other),North American,2,4,7,2,5,7,7,1,7,2,The event really happened in my life.,ORIGINAL
round-5,sadness,52173,2021/10/06 6:02:22 pm EET,6f590e3da93b16b9d59e56971896b3b7,1,3,1,1,2,2,2,1,1,1,1,2,I realised that my boyfriend and I's long-term plans might not be compatible.,I realised that my boyfriend and I's long-term plans might not be compatible.,weeks,weeks,4,5,2,2,4,1,5,5,1,4,4,3,2,1,3,4,1,2,4,1,2,5,5,"No, I participated before and answered the next set of questions.",21,Female,Undergraduate degree (BA/BSc/other),European,5,6,7,7,2,5,7,2,3,6,The event really happened in my life.,COPIED FROM: text id 51568
round-5,fear,5855,2021/10/06 3:54:16 pm EET,33aba783cd9f3fdbf70b7bb2aca53498,1,2,1,1,1,3,3,3,1,1,1,3,I had to take an examination which I am not well prepared for,I had to take an examination which I am not well prepared for,hours,hours,4,5,1,5,4,1,5,4,1,5,4,5,4,5,5,4,1,4,1,1,5,1,4,"No, I participated before and answered the next set of questions.",57,Female,Graduate degree (MA/MSc/MPhil/other),East Asian,2,2,5,2,5,3,5,4,5,5,The event really happened in my life.,COPIED FROM: text id 5205
round-4,trust,41891,2021/09/20 12:50:30 am EET,1c6a8eb893404edeb58981b5f8b084bb,1,2,1,1,1,2,1,1,2,1,1,1,I felt trust when I was very drunk and my friend had to walk me home,I felt ... when I was very drunk and my friend had to walk me home,hours,hours,4,4,3,1,2,3,3,1,1,5,3,3,1,4,4,4,1,2,3,1,3,3,4,"No, I participated before and answered the next set of questions.",22,Female,No formal qualifications,European,5,3,6,6,5,5,6,3,6,5,--,COPIED FROM: text id 4147
round-6,sadness,6855,2021/11/01 9:41:36 pm CET,6763930a378155c7dd52f6d39b1700c9,4,1,1,3,1,3,4,2,4,1,1,1,When I finished my McDonalds because I was still hungry,When I finished my McDonalds because I was still hungry,minutes,minutes,3,5,4,3,1,2,3,1,1,2,1,2,2,1,3,1,3,4,1,1,1,2,1,"No, I participated before and answered the next set of questions.",41,Female,High school,European,7,2,3,6,5,1,7,5,1,1,The event really happened in my life.,COPIED FROM: text id 52384
round-4,anger,4118,2021/09/20 12:51:33 am EET,e01570d140af0ed90c02cb854a21fce1,1,4,1,1,2,4,3,3,1,1,1,5,I was in school all day everyday,I was in school all day everyday,days,minutes,3,4,3,4,4,1,3,1,4,4,1,1,1,1,3,1,4,4,1,1,4,4,4,"Yes, first time, I will answer the following questions.",24,Male,High school,North American,5,2,7,5,6,5,6,1,5,2,--,ORIGINAL
round-6,fear,6381,2021/11/01 9:42:18 pm CET,25c5563ad5b1ab6b39732b55945ecc7b,1,2,1,1,2,2,2,3,1,1,1,3,I had to make a presentation in front my colleagues and share my insights. I was worried about whether what I shared would be of any values to them. I also was fearful of not meeting their expectations.,I had to make a presentation in front my colleagues and share my insights. I was worried about whether what I shared would be of any values to them. I also was ... of not meeting their expectations.,minutes,days,3,3,1,4,4,1,4,4,1,4,1,4,4,4,4,2,1,4,1,1,1,4,4,"Yes, first time, I will answer the following questions.",31,Male,Graduate degree (MA/MSc/MPhil/other),Australian/New Zealander,3,3,5,3,5,6,6,4,5,3,The event really happened in my life.,ORIGINAL
round-5,joy,51321,2021/10/06 5:07:37 pm EET,fd203947a6f88d0186e913b224af50b5,1,2,1,1,1,3,3,2,1,1,1,1,when i went on holiday to Greece because it was so relaxing and beautiful,when i went on holiday to Greece because it was so relaxing and beautiful,weeks,weeks,5,5,1,3,5,5,1,2,1,5,1,3,5,2,4,2,2,3,1,1,1,1,1,"Yes, first time, I will answer the following questions.",28,Female,Undergraduate degree (BA/BSc/other),European,6,2,5,6,6,3,6,2,5,2,The event really happened in my life.,ORIGINAL
round-5,guilt,5976,2021/10/06 2:34:56 pm EET,9dc726ebb7c8085dda42cdc8df20a500,1,4,1,1,1,3,1,1,2,1,1,2,My brother got in trouble for something I did,My brother got in trouble for something I did,seconds,hours,4,5,4,5,5,1,5,5,5,1,5,5,1,5,5,5,1,1,5,5,5,1,5,"No, I participated before and answered the next set of questions.",21,Female,High school,European,1,4,6,6,5,7,7,2,4,5,The event really happened in my life.,COPIED FROM: text id 5550
round-5,boredom,5297,2021/10/06 2:07:16 pm EET,da36da44cbd920348d6a2a4a4f307761,1,1,1,1,1,1,1,1,1,1,1,1,I wait outside the school gates for the children for 30 plus minutes.,I wait outside the school gates for the children for 30 plus minutes.,minutes,minutes,2,4,1,5,4,2,1,2,1,5,1,4,3,1,3,2,2,5,2,3,4,1,1,"Yes, first time, I will answer the following questions.",37,Female,Undergraduate degree (BA/BSc/other),Mixed black Caribbean /white,2,5,5,3,4,5,6,5,6,5,The event really happened in my life.,ORIGINAL
round-6,joy,6517,2021/11/01 9:51:57 pm CET,8e8f7f0b82ca3d659f8336b7209474ff,1,3,1,1,2,4,3,2,3,1,1,2,I saw my granddaughter for the 1st time even if I couldn't hold her,I saw my granddaughter for the 1st time even if I couldn't hold her,minutes,weeks,5,5,1,4,5,5,1,5,3,1,5,5,5,3,1,5,2,3,1,1,1,1,1,"Yes, first time, I will answer the following questions.",53,Female,Secondary education,European,3,5,6,5,7,2,6,1,3,3,The event really happened in my life.,ORIGINAL
round-5,relief,51900,2021/10/06 1:24:13 pm EET,0a0ff5489ca8718bd56048b8fabd3ea4,2,2,1,1,1,1,1,1,1,1,1,4,A friend of mine responded to an important email.,A friend of mine responded to an important email.,seconds,days,4,4,3,2,4,4,1,4,1,4,4,4,4,3,2,4,1,5,1,1,2,1,2,"No, I participated before and answered the next set of questions.",18,Male,Secondary education,European,5,5,6,5,6,4,6,3,6,2,The event really happened in my life.,COPIED FROM: text id 592
round-3,boredom,3152,2021/09/03 5:20:15 pm EET,26d8b2221948b31c8b53b648f4e8c60b,1,3,1,1,1,2,1,1,1,1,1,1,I had to sit in a Doctor waiting room for over 4 hours waiting to be seen,I had to sit in a Doctor waiting room for over 4 hours waiting to be seen,hours,hours,4,5,5,1,1,1,5,5,4,1,1,1,1,4,1,1,5,1,3,1,5,5,1,"Yes, first time, I will answer the following questions.",37,Female,Undergraduate degree (BA/BSc/other),European,1,1,6,5,3,6,6,3,6,5,--,ORIGINAL
round-3,boredom,3217,2021/09/03 5:03:15 pm EET,7db9b98cefdbc843f04c6af91555c8ed,1,1,2,2,2,3,3,4,2,1,2,3,im in lockdown for COVID (Australia),im in lockdown for COVID (Australia),weeks,weeks,4,5,1,5,5,1,5,4,2,1,2,5,1,3,1,3,4,4,2,2,1,2,2,"No, I participated before and answered the next set of questions.",20,Male,Undergraduate degree (BA/BSc/other),East Asian,6,4,7,3,6,4,5,1,2,2,--,COPIED FROM: text id 371
round-4,pride,41141,2021/09/20 12:42:41 am EET,1c6a8eb893404edeb58981b5f8b084bb,1,1,1,1,1,2,1,1,2,1,1,1,I felt pride when my phone bill was wrong but I phoned the company myself to get it fixed to the proper amount,I felt ... when my phone bill was wrong but I phoned the company myself to get it fixed to the proper amount,minutes,minutes,4,5,4,1,4,5,4,4,1,1,5,3,5,5,5,5,1,2,5,4,5,1,2,"No, I participated before and answered the next set of questions.",22,Female,No formal qualifications,European,5,3,6,6,5,5,6,3,6,5,--,COPIED FROM: text id 4147
round-4,surprise,41751,2021/09/20 2:19:32 am EET,3aeee8d31c7196e816371d78a4e7411a,1,1,2,4,2,2,4,4,2,2,4,3,i felt surprised when a guy said hes interested in me and wants a relationship because this doesn't tend to happen to me often especially since i gained a bunch of weight recently,i felt ... when a guy said hes interested in me and wants a relationship because this doesn't tend to happen to me often especially since i gained a bunch of weight recently,days,days,4,4,5,1,1,4,1,5,5,3,5,3,4,3,4,4,4,4,2,1,5,3,4,"Yes, first time, I will answer the following questions.",21,Female,Undergraduate degree (BA/BSc/other),African,7,7,5,6,6,5,7,7,2,2,--,ORIGINAL
round-4,anger,4104,2021/09/20 12:09:49 am EET,32b2d89d9cd9c8036e6f530ed07523a2,1,4,1,1,1,3,1,1,1,1,1,1,I missed the bus by a minute or so. I was angry at myself for not walking to the stop faster/waking up early etc.,I missed the bus by a minute or so. I was ... at myself for not walking to the stop faster/waking up early etc.,minutes,minutes,3,5,2,3,4,1,5,4,3,3,4,4,1,4,1,2,5,1,2,1,3,1,4,"No, I participated before and answered the next set of questions.",18,Female,Secondary education,South Asian,5,3,4,7,6,7,6,1,5,2,--,COPIED FROM: text id 41874
round-5,relief,51902,2021/10/06 1:38:50 pm EET,3a9d991d1d9ec6f1a0edca04e2d5f65a,2,2,2,2,2,2,2,1,2,2,2,3,I felt relief when I found out that I passed a physics test because it was exceptionally difficult and I needed to do well on the test to pass the course.,I felt ... when I found out that I passed a physics test because it was exceptionally difficult and I needed to do well on the test to pass the course.,seconds,days,4,4,1,3,3,5,1,4,1,5,3,3,3,1,2,2,1,5,1,1,1,1,2,"No, I participated before and answered the next set of questions.",22,Male,Undergraduate degree (BA/BSc/other),European,3,2,5,4,5,6,6,3,6,3,The event really happened in my life.,COPIED FROM: text id 5816
round-5,trust,52762,2021/10/06 3:26:54 pm EET,848f7ecb2dc1258d21f60e458849986c,1,1,1,1,2,1,1,1,2,1,1,1,I felt trust when a friend verbally defended me behind my back because he could've easily just just said nothing,I felt ... when a friend verbally defended me behind my back because he could've easily just just said nothing,minutes,hours,4,4,4,2,2,3,3,3,1,2,5,3,3,4,3,4,1,3,3,2,4,1,3,"No, I participated before and answered the next set of questions.",23,Male,Graduate degree (MA/MSc/MPhil/other),European,5,6,3,5,5,4,6,6,4,4,The event really happened in my life.,COPIED FROM: text id 52530
round-3,no-emotion,3699,2021/09/03 10:03:19 pm EET,b54c99b125f75083765440a9aa38e91e,2,4,2,1,2,1,2,1,4,2,1,2,"I was playing Zelda: Breath of the Wild, and I beat the final boss.","I was playing Zelda: Breath of the Wild, and I beat the final boss.",seconds,I had none,1,5,2,4,5,4,1,1,1,5,2,5,4,1,5,2,1,1,1,1,4,1,1,"No, I participated before and answered the next set of questions.",30,Female,High school,North American,3,5,5,7,5,3,6,5,2,2,--,COPIED FROM: text id 3650
